group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
double-and-add,,,,,1926500.0,ns,1
double-and-add,,,,,3808500.0,ns,2
double-and-add,,,,,6031625.0,ns,3
double-and-add,,,,,7745125.0,ns,4
double-and-add,,,,,9915333.0,ns,5
double-and-add,,,,,14685875.0,ns,6
double-and-add,,,,,17385250.0,ns,7
double-and-add,,,,,16696708.0,ns,8
double-and-add,,,,,21404791.0,ns,9
double-and-add,,,,,21219500.0,ns,10
double-and-add,,,,,28491625.0,ns,11
double-and-add,,,,,28085000.0,ns,12
double-and-add,,,,,26727792.0,ns,13
double-and-add,,,,,28617875.0,ns,14
double-and-add,,,,,29760709.0,ns,15
double-and-add,,,,,31269709.0,ns,16
double-and-add,,,,,32844583.0,ns,17
double-and-add,,,,,34206250.0,ns,18
double-and-add,,,,,35946667.0,ns,19
double-and-add,,,,,37600584.0,ns,20
double-and-add,,,,,39479959.0,ns,21
double-and-add,,,,,41243208.0,ns,22
double-and-add,,,,,43174875.0,ns,23
double-and-add,,,,,46324833.0,ns,24
double-and-add,,,,,47195583.0,ns,25
double-and-add,,,,,50763458.0,ns,26
double-and-add,,,,,53824583.0,ns,27
double-and-add,,,,,55735583.0,ns,28
double-and-add,,,,,55801250.0,ns,29
double-and-add,,,,,57541458.0,ns,30
double-and-add,,,,,59370416.0,ns,31
double-and-add,,,,,61988958.0,ns,32
double-and-add,,,,,63931500.0,ns,33
double-and-add,,,,,65765417.0,ns,34
double-and-add,,,,,67512542.0,ns,35
double-and-add,,,,,69364500.0,ns,36
double-and-add,,,,,70719167.0,ns,37
double-and-add,,,,,72645833.0,ns,38
double-and-add,,,,,74536125.0,ns,39
double-and-add,,,,,76332584.0,ns,40
double-and-add,,,,,77273875.0,ns,41
double-and-add,,,,,78853083.0,ns,42
double-and-add,,,,,80803167.0,ns,43
double-and-add,,,,,82657208.0,ns,44
double-and-add,,,,,84508834.0,ns,45
double-and-add,,,,,86437125.0,ns,46
double-and-add,,,,,88179458.0,ns,47
double-and-add,,,,,90106500.0,ns,48
double-and-add,,,,,92073583.0,ns,49
double-and-add,,,,,93826167.0,ns,50
double-and-add,,,,,95835709.0,ns,51
double-and-add,,,,,97599625.0,ns,52
double-and-add,,,,,99580584.0,ns,53
double-and-add,,,,,101370750.0,ns,54
double-and-add,,,,,103347708.0,ns,55
double-and-add,,,,,105100334.0,ns,56
double-and-add,,,,,107008083.0,ns,57
double-and-add,,,,,108865208.0,ns,58
double-and-add,,,,,110740625.0,ns,59
double-and-add,,,,,112664708.0,ns,60
double-and-add,,,,,114512208.0,ns,61
double-and-add,,,,,116507875.0,ns,62
double-and-add,,,,,118170333.0,ns,63
double-and-add,,,,,120385000.0,ns,64
double-and-add,,,,,122192667.0,ns,65
double-and-add,,,,,124029208.0,ns,66
double-and-add,,,,,125830042.0,ns,67
double-and-add,,,,,127724584.0,ns,68
double-and-add,,,,,129594042.0,ns,69
double-and-add,,,,,132046875.0,ns,70
double-and-add,,,,,133284333.0,ns,71
double-and-add,,,,,135215708.0,ns,72
double-and-add,,,,,137079583.0,ns,73
double-and-add,,,,,138939958.0,ns,74
double-and-add,,,,,140777458.0,ns,75
double-and-add,,,,,142777291.0,ns,76
double-and-add,,,,,145903583.0,ns,77
double-and-add,,,,,146657417.0,ns,78
double-and-add,,,,,148537583.0,ns,79
double-and-add,,,,,150347750.0,ns,80
double-and-add,,,,,152081458.0,ns,81
double-and-add,,,,,153988208.0,ns,82
double-and-add,,,,,155888541.0,ns,83
double-and-add,,,,,157753000.0,ns,84
double-and-add,,,,,159618750.0,ns,85
double-and-add,,,,,162165208.0,ns,86
double-and-add,,,,,163699417.0,ns,87
double-and-add,,,,,165279541.0,ns,88
double-and-add,,,,,167376458.0,ns,89
double-and-add,,,,,169982125.0,ns,90
double-and-add,,,,,175233709.0,ns,91
double-and-add,,,,,178624459.0,ns,92
double-and-add,,,,,176852084.0,ns,93
double-and-add,,,,,178502625.0,ns,94
double-and-add,,,,,178333500.0,ns,95
double-and-add,,,,,179999125.0,ns,96
double-and-add,,,,,183870125.0,ns,97
double-and-add,,,,,184723583.0,ns,98
double-and-add,,,,,185655750.0,ns,99
double-and-add,,,,,187685042.0,ns,100
